Date,Open,High,Low,Close,Volume
2020.05.06,06:00,18.49448,18.51034,18.42390,18.42888,3651
2020.05.06,07:00,18.42888,18.48324,18.33952,18.36582,3381
2020.05.06,08:00,18.36564,18.43008,18.35605,18.41738,5720
2020.05.06,09:00,18.41713,18.53296,18.41428,18.50304,6285
2020.05.06,10:00,18.50375,18.58522,18.49507,18.56218,4905
2020.05.06,11:00,18.56203,18.58955,18.52814,18.53807,4124
2020.05.06,12:00,18.53842,18.55431,18.51106,18.52549,4259
2020.05.06,13:00,18.52545,18.66220,18.52151,18.64296,6553
2020.05.06,14:00,18.64399,18.75613,18.64188,18.72894,7274
2020.05.06,15:00,18.72935,18.77683,18.70673,18.75922,8491
2020.05.06,16:00,18.75941,18.83136,18.73907,18.78161,6293
2020.05.06,17:00,18.78166,18.78665,18.71465,18.74011,4505
2020.05.06,18:00,18.74028,18.74156,18.65172,18.66480,2170
2020.05.06,19:00,18.66644,18.69356,18.65625,18.69209,2418
2020.05.06,20:00,18.69114,18.72032,18.65730,18.71937,1851
2020.05.06,21:00,18.71892,18.78832,18.71685,18.78341,897
2020.05.06,22:05,18.75235,18.79277,18.74340,18.78801,652
2020.05.06,23:05,18.78678,18.81354,18.76400,18.78958,1270
2020.05.07,00:00,18.78689,18.82761,18.78604,18.81413,1149
2020.05.07,01:00,18.81368,18.81415,18.74680,18.75242,4049
2020.05.07,02:00,18.75242,18.75312,18.69412,18.70918,2442
2020.05.07,03:00,18.70894,18.70918,18.64580,18.65769,1271
2020.05.07,04:00,18.65792,18.66815,18.64136,18.65981,997
2020.05.07,05:00,18.65981,18.66241,18.64948,18.65411,905
2020.05.07,06:00,18.65406,18.68277,18.64695,18.67485,2641
2020.05.07,07:00,18.67465,18.78135,18.63450,18.70521,4375
2020.05.07,08:00,18.70531,18.73090,18.57175,18.62419,5833
2020.05.07,09:00,18.62419,18.64280,18.56326,18.64272,3977
2020.05.07,10:00,18.64275,18.64341,18.53434,18.57865,4351
2020.05.07,11:00,18.57855,18.63537,18.56632,18.62312,4760
2020.05.07,12:00,18.62308,18.62385,18.51503,18.55546,5372
2020.05.07,13:00,18.55302,18.61409,18.53042,18.57047,7704
2020.05.07,14:00,18.57047,18.64941,18.55802,18.64246,8943
2020.05.07,15:00,18.64086,18.70012,18.63287,18.64576,6774
2020.05.07,16:00,18.64619,18.65120,18.52436,18.52700,5235
2020.05.07,17:00,18.52715,18.58751,18.52655,18.57718,3572
2020.05.07,18:00,18.57843,18.59147,18.56329,18.58273,3378
2020.05.07,19:00,18.58414,18.60949,18.58389,18.60152,1705
2020.05.07,20:00,18.60285,18.65962,18.59505,18.62348,2718
2020.05.07,21:00,18.62139,18.62139,18.58120,18.58724,1389
2020.05.07,22:05,18.60525,18.61260,18.57605,18.59996,480
2020.05.07,23:05,18.60015,18.60033,18.55614,18.56025,1096
2020.05.08,00:00,18.55812,18.57727,18.55773,18.56755,1110
2020.05.08,01:00,18.56725,18.57912,18.52447,18.53622,874
2020.05.08,02:00,18.53605,18.54192,18.52071,18.53132,1339
2020.05.08,03:00,18.53143,18.53652,18.50594,18.51971,536
2020.05.08,04:00,18.51971,18.52681,18.51485,18.52245,859
2020.05.08,05:00,18.52255,18.54827,18.52114,18.53750,830
2020.05.08,06:00,18.53704,18.56083,18.53471,18.55047,1199
2020.05.08,07:00,18.55015,18.58569,18.53147,18.57436,2257
2020.05.08,08:00,18.57475,18.57563,18.44106,18.44565,3107
2020.05.08,09:00,18.44580,18.49450,18.44497,18.44818,2059
2020.05.08,10:00,18.44827,18.45790,18.43161,18.44943,1175
2020.05.08,11:00,18.44919,18.46210,18.43409,18.45190,1634
2020.05.08,12:00,18.45218,18.49012,18.44350,18.46856,2739
2020.05.08,13:00,18.46860,18.47002,18.35268,18.36978,5887
2020.05.08,14:00,18.36889,18.42530,18.34736,18.35095,5931
2020.05.08,15:00,18.35125,18.37440,18.30496,18.32490,5817
2020.05.08,16:00,18.32440,18.36894,18.29706,18.36235,4328
2020.05.08,17:00,18.36245,18.39611,18.31056,18.32595,2142
2020.05.08,18:00,18.32425,18.36165,18.32027,18.35929,1774
2020.05.08,19:00,18.35918,18.38560,18.33895,18.34815,1587
2020.05.08,20:00,18.34775,18.36305,18.33735,18.35845,997
2020.05.08,21:00,18.35955,18.36175,18.31380,18.33320,475
2020.05.10,22:05,18.34725,18.36694,18.34232,18.35092,235
2020.05.10,23:05,18.35087,18.36507,18.34662,18.35405,557
2020.05.11,00:00,18.35391,18.36564,18.32200,18.32435,96
2020.05.11,01:00,18.32415,18.32595,18.32037,18.32040,348
2020.05.11,02:00,18.32060,18.32067,18.26600,18.26600,736
2020.05.11,03:00,18.26590,18.27228,18.23751,18.24823,1410
2020.05.11,04:00,18.24839,18.25825,18.24638,18.25507,835
2020.05.11,05:00,18.25507,18.26115,18.24981,18.25744,1529
2020.05.11,06:00,18.25718,18.27230,18.21542,18.25397,1916
2020.05.11,07:00,18.25338,18.29800,18.22785,18.23318,2453
2020.05.11,08:00,18.23583,18.30652,18.21521,18.24858,5094
2020.05.11,09:00,18.24968,18.39126,18.23928,18.33004,4811
2020.05.11,10:00,18.32978,18.36792,18.32568,18.36583,3524
2020.05.11,11:00,18.36552,18.43856,18.36467,18.40578,5328
2020.05.11,12:00,18.40467,18.44574,18.37695,18.44039,5742
2020.05.11,13:00,18.44058,18.45983,18.39193,18.39784,5330
2020.05.11,14:00,18.39785,18.40388,18.34328,18.38085,6389
2020.05.11,15:00,18.38066,18.40044,18.34778,18.37238,5522
2020.05.11,16:00,18.37256,18.41205,18.35985,18.39635,5570
2020.05.11,17:00,18.39555,18.40921,18.34750,18.37005,3959
2020.05.11,18:00,18.37026,18.41122,18.34328,18.40813,2964
2020.05.11,19:00,18.40646,18.44325,18.37691,18.40139,3513
2020.05.11,20:00,18.40122,18.44110,18.38246,18.43145,2014
2020.05.11,21:00,18.43135,18.43875,18.36730,18.41540,2750
